product_hs92_code,product_name_short,product_name,pci,density,effort,efficiency,cog,strategic_score,export_value,import_value
8602,Other rail locomotives,Other rail locomotives; locomotive tenders,0.19,0.14300000000000002,0.857,0.22144522144522144,0.705,0.13987451049041352,4943,9956372
2507,Kaolin,"Kaolin and other kaolinic clays, whether or not calcined",0.001,0.17100000000000004,0.829,0.0012048192771084338,0.522,0.1387925434646143,12967377,25390393
9604,Hand sieves and riddles,Hand sieves and hand riddles,0.113,0.17600000000000005,0.824,0.136969696969697,0.003,0.13812199213586976,73732,370227
9109,"Clock movements, complete","Clock movements, complete and assembled",0.208,0.16400000000000003,0.836,0.24850657108721624,0.004,0.1366445669553992,7021,1936496
9208,"Other musical instruments, n.e.c.","Musicboxes, fairground organs, mechanical street organs, mechanical singing birds, musical saws and other musical instruments not falling within any other heading of this chapter; decoy calls of all kinds; whistles, call horns and other mouth-blown sound",0.135,0.15300000000000002,0.847,0.15919811320754718,0.492,0.1329360840480804,259233,814732
2003,"Mushrooms, prepared or preserved","Mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid",0.25,0.15700000000000003,0.843,0.2962085308056872,0.002,0.13273031886039013,9593177,5223965
5302,Hemp fiber,"True hemp (Cannabis sativa L.), raw or processed but not spun; tow and waste of true hemp (including yarn waste and garnetted stock)",0.153,0.16500000000000004,0.835,0.18301435406698566,0.003,0.1270387036819563,0,29192
8606,"Railway cars, not self-propelled","Railway or tramway freight cars, not self-propelled",0.017,0.16100000000000003,0.839,0.02023809523809524,0.518,0.12443034611805806,23628957,5862164
6215,"Ties, bow ties and cravats","Ties, bow ties and cravats",0.109,0.14500000000000002,0.855,0.12733644859813084,0.64,0.1228903884199612,88834,1073858
1004,Oats,Oats,0.1,0.14900000000000002,0.851,0.11737089201877936,0.509,0.11985214910579439,3412,16495
6906,Ceramic pipes,"Ceramic pipes, conduits, guttering and pipe fittings",0.063,0.17000000000000004,0.83,0.07581227436823106,0.003,0.11726925352063869,0,786995
1205,Rape or colza seeds,"Rape or colza seeds, whether or not broken",0.021,0.15700000000000003,0.843,0.02488151658767773,0.412,0.11162831053860993,0,315426
5904,Linoleum,"Linoleum, whether or not cut to shape; floor coverings consisting of a coating or covering applied on a textile backing, whether or not cut to shape",0.035,0.14900000000000002,0.851,0.04107981220657277,0.572,0.11058395098862635,75237,96024
4405,Wood wool or flour,Wood wool (excelsior); wood flour,0.032,0.16900000000000004,0.831,0.038461538461538464,0.003,0.10912749801251097,744703,4247848
5507,"Artificial staple fibers, processed","Artificial staple fibers, carded, combed or otherwise processed for spinning",0.157,0.14700000000000002,0.853,0.18384074941451992,0.003,0.09616245619123227,156188,158819
5108,"Yarn of animal hair, not for retail sale","Yarn of fine animal hair (carded or combed), not put up for retail sale",0.066,0.15300000000000002,0.847,0.0778301886792453,0.002,0.08810170713535453,0,9586
