rank,product_hs92_code,product_name_short,pci
1272,8306,"Ornaments, statuettes, etc. of metal",0.15
1273,8306,,0.15
1274,7407,"Copper bars, rods and profiles",0.147
1275,7407,,0.147
1276,5809,,0.146
1277,5809,Woven fabric incorporating metal threads,0.146
1278,9603,,0.145
1279,9603,Brooms and mops,0.145
1280,5006,"Silk yarn, for retail sale",0.144
1281,5006,,0.144
1282,6905,Architectural ceramic ornaments,0.143
1283,6905,,0.143
1284,8805,Aircraft launching gear,0.142
1285,8805,,0.142
1286,2818,,0.139
1287,2818,Aluminum oxide,0.139
1288,4304,,0.135
1289,4304,Artificial fur,0.135
1290,5806,Narrow woven fabrics,0.134
1291,5806,,0.134
1292,6912,Ceramic household articles,0.132
1293,6912,,0.132
1294,7308,,0.131
1295,7308,"Structures and their parts, of iron or steel",0.131
1296,7304,,0.128
1297,7304,"Tubes, seamless, of iron or steel",0.128
1298,3925,,0.127
1299,4302,,0.127
1300,3925,Plastic builders' ware,0.127
1301,4302,Other tanned furskins,0.127
1302,406,,0.126
1303,0406,Cheese,0.126
1304,4808,,0.125
1305,4808,Corrugated paper and paperboard,0.125
1306,2105,,0.125
1307,2105,Ice cream,0.125
1308,2809,,0.122
1309,2809,Phosphoric acid etc.,0.122
1310,3307,Toiletries,0.117
1311,3307,,0.117
1312,2803,Carbon,0.117
1313,2803,,0.117
1314,5512,Woven fabrics of > 85% synthetic staple fibers,0.115
1315,5512,,0.115
1316,7323,,0.111
1317,7323,Household articles of iron or steel,0.111
1318,3208,"Paints and varnishes, nonaqueous",0.11
1319,4303,,0.11
1320,3208,,0.11
1321,4303,Furskin apparel,0.11
1322,9307,Swords,0.109
1323,7321,,0.109
1324,7321,Stoves and similar non-electric appliances of iron or steel,0.109
1325,9307,,0.109
1326,3814,,0.108
1327,3814,Organic composite solvents and thinners,0.108
1328,4108,,0.107
1329,4108,Chamois leather,0.107
1330,3304,Make-up preparations,0.106
1331,410,,0.106
1332,0410,"Edible animal products, n.e.c.",0.106
1333,3304,,0.106
1334,6001,,0.102
1335,6001,"Pile fabrics, knit",0.102
1336,2206,Other fermented beverages,0.098
1337,2206,,0.098
1338,4401,Fuel wood,0.087
1339,4401,,0.087
1340,2004,,0.086
1341,2004,"Other vegetables, frozen",0.086
1342,5207,Cotton yarn for retail sale,0.081
1343,5109,"Yarn of wool or animal hair, for retail sale",0.081
1344,5109,,0.081
1345,5207,,0.081
1346,2834,"Nitrites, nitrates",0.078
1347,2834,,0.078
1348,3303,Perfumes,0.076
1349,3303,,0.076
1350,4013,Rubber inner tubes,0.072
1351,4013,,0.072
1352,5501,,0.071
1353,5302,Hemp fiber,0.071
1354,5501,Synthetic filament tow,0.071
1355,5302,,0.071
1356,4901,,0.059
1357,4901,"Books, brochures etc.",0.059
1358,8702,Buses,0.058
1359,8702,,0.058
1360,4109,Patent leather,0.058
1361,4109,,0.058
1362,8803,,0.056
1363,8803,Parts of other aircraft,0.056
1364,8704,Motor vehicles for transporting goods,0.055
1365,8704,,0.055
1366,1001,Wheat and meslin,0.052
1367,1001,,0.052
1368,4201,,0.05
1369,4201,Saddlery and harnesses,0.05
1370,1702,,0.046
1371,1702,Other sugars,0.046
1372,5515,Other woven fabrics of synthetic staple fibers,0.043
1373,5515,,0.043
1374,1205,,0.038
1375,1205,Rape or colza seeds,0.038
1376,9618,,0.033
1377,9618,Mannequins,0.033
1378,1603,Extracts and juices of meat or fish,0.033
1379,1603,,0.033
1380,1520,Glycerol,0.033
1381,1520,,0.033
1382,6913,,0.032
1383,6913,Ornamental ceramic articles,0.032
1384,2205,,0.03
1385,2205,"Wine, flavored",0.03
1386,6807,Asphalt,0.022
1387,6807,,0.022
1388,2844,,0.021
1389,2844,Uranium,0.021
1390,4805,,0.02
1391,7215,Other bars and rods of iron or nonalloy steel,0.02
